NATION|SEASON ID|RALLY ID|STAGE PROGR IN RALLY|WINNER|CAR FEDE|CAR BOMBER|WEATHER|TIME|CREATION TM|ENTITY ID|SEASON FINISHED|SEASON START|SEASON END|RALLY WINNER|SEASON WINNER
Monaco|151|152|1|FEDE|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-05-25T02:11:45.785|154|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Monaco|151|152|2|BOMBER|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-05-25T02:11:45.785|155|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Monaco|151|152|3|FEDE|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-05-25T02:11:45.786|156|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Monaco|151|152|4|BOMBER|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-05-25T02:11:45.787|157|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Germany|151|158|0|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-25T02:54:25.256|159|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Germany|151|158|1|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-25T02:54:25.258|160|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Germany|151|158|2|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-25T02:54:25.258|161|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Germany|151|158|3|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-25T02:54:25.258|162|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Germany|151|158|4|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-25T02:54:25.258|163|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
United Kingdom|151|165|0|BOMBER|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-05-26T01:27:56.887|166|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
United Kingdom|151|165|1|BOMBER|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-05-26T01:27:56.889|167|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
United Kingdom|151|165|2|BOMBER|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-05-26T01:27:56.89|168|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
China|151|169|0|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-26T02:47:12.244|170|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
China|151|169|1|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-26T02:47:12.245|171|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
China|151|169|2|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-26T02:47:12.246|172|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
China|151|169|3|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-26T02:47:12.247|173|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
China|151|169|4|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-05-26T02:47:12.248|174|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
France|151|175|0|FEDE|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-05-26T03:21:49.128|176|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
France|151|175|1|BOMBER|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-05-26T03:21:49.129|177|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
France|151|175|2|BOMBER|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-05-26T03:21:49.13|178|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
France|151|175|3|FEDE|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-05-26T03:21:49.131|179|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
France|151|175|4|FEDE|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-05-26T03:21:49.132|180|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
Australia|151|181|0|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-01T00:01:06.725|182|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Australia|151|181|1|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-01T00:01:06.73|183|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Australia|151|181|2|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-01T00:01:06.732|184|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Australia|151|181|3|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-01T00:01:06.732|185|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Sweden|151|186|0|BOMBER|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-01T00:33:12.557|187|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
Sweden|151|186|1|BOMBER|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-01T00:33:12.558|188|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
Sweden|151|186|2|FEDE|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-01T00:33:12.558|189|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
Sweden|151|186|3|FEDE|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-01T00:33:12.559|190|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
Sweden|151|186|4|FEDE|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-01T00:33:12.56|191|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
Italy|151|192|0|BOMBER|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-06-01T00:52:26.492|193|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Italy|151|192|1|BOMBER|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-06-01T00:52:26.493|194|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Italy|151|192|2|BOMBER|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-06-01T00:52:26.494|195|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Portugal|151|198|0|BOMBER|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-06-02T22:00:43.374|199|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Portugal|151|198|1|FEDE|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-06-02T22:00:43.374|200|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Portugal|151|198|2|FEDE|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-06-02T22:00:43.375|201|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Portugal|151|198|3|BOMBER|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-06-02T22:00:43.375|202|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Portugal|151|198|4|BOMBER|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-06-02T22:00:43.376|203|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|BOMBER|BOMBER
Spain|151|204|0|FEDE|Citroen DS 3|Citroen DS 3|CLEAR_SKY|DAWN|2019-06-02T22:38:41.537|205|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
Spain|151|204|1|FEDE|Citroen DS 3|Citroen DS 3|CLEAR_SKY|DAWN|2019-06-02T22:38:41.538|206|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
Spain|151|204|2|BOMBER|Citroen DS 3|Citroen DS 3|CLEAR_SKY|DAWN|2019-06-02T22:38:41.539|207|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
Spain|151|204|3|BOMBER|Citroen DS 3|Citroen DS 3|CLEAR_SKY|DAWN|2019-06-02T22:38:41.539|208|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
Spain|151|204|4|FEDE|Citroen DS 3|Citroen DS 3|CLEAR_SKY|DAWN|2019-06-02T22:38:41.54|209|true|2019-05-25T01:34:57.233|2019-06-02T22:38:41.54|FEDE|BOMBER
Monaco|211|212|0|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-07T22:19:01.288|213|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Monaco|211|212|1|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-07T22:19:01.288|214|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Monaco|211|212|2|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-07T22:19:01.289|215|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Monaco|211|212|3|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-07T22:19:01.289|216|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Sweden|211|217|0|BOMBER|Citroen DS 3|Citroen DS 3|CLEAR_SKY|DAWN|2019-06-07T22:42:20.638|218|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Sweden|211|217|1|FEDE|Citroen DS 3|Citroen DS 3|CLEAR_SKY|DAWN|2019-06-07T22:42:20.639|219|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Sweden|211|217|2|FEDE|Citroen DS 3|Citroen DS 3|CLEAR_SKY|DAWN|2019-06-07T22:42:20.639|220|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Sweden|211|217|3|FEDE|Citroen DS 3|Citroen DS 3|CLEAR_SKY|DAWN|2019-06-07T22:42:20.64|221|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Mexico|211|222|0|FEDE|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-06-08T00:16:52.07|223|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Mexico|211|222|1|FEDE|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-06-08T00:16:52.07|224|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Mexico|211|222|2|FEDE|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-06-08T00:16:52.071|225|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Argentina|211|226|0|FEDE|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-06-08T00:17:15.441|227|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Argentina|211|226|1|FEDE|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-06-08T00:17:15.441|228|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Argentina|211|226|2|BOMBER|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-06-08T00:17:15.442|229|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Argentina|211|226|3|BOMBER|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-06-08T00:17:15.442|230|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Argentina|211|226|4|BOMBER|MINI John Cooper Works|MINI John Cooper Works|CLEAR_SKY|DAWN|2019-06-08T00:17:15.442|231|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Portugal|211|232|0|BOMBER|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-08T00:29:29.122|233|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Portugal|211|232|1|FEDE|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-08T00:29:29.122|234|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Portugal|211|232|2|BOMBER|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-08T00:29:29.123|235|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Portugal|211|232|3|FEDE|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-08T00:29:29.123|236|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Portugal|211|232|4|BOMBER|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-08T00:29:29.123|237|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Italy|211|238|0|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-08T01:30:27.88|239|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Italy|211|238|1|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-08T01:30:27.88|240|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Italy|211|238|2|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-08T01:30:27.881|241|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Italy|211|238|3|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-08T01:30:27.881|242|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|BOMBER|FEDE
Poland|211|243|0|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-08T01:51:24.396|244|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Poland|211|243|1|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-08T01:51:24.397|245|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Poland|211|243|2|BOMBER|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-08T01:51:24.397|246|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Poland|211|243|3|FEDE|Volkswagen Polo R|Volkswagen Polo R|CLEAR_SKY|DAWN|2019-06-08T01:51:24.398|247|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Finland|211|248|0|FEDE|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-08T02:14:18.763|249|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Finland|211|248|1|BOMBER|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-08T02:14:18.764|250|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Finland|211|248|2|FEDE|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-08T02:14:18.764|251|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Finland|211|248|3|FEDE|Ford Fiesta RS|Ford Fiesta RS|CLEAR_SKY|DAWN|2019-06-08T02:14:18.765|252|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Germany|211|253|0|FEDE|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-06-08T02:49:23.042|254|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Germany|211|253|1|BOMBER|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-06-08T02:49:23.043|255|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Germany|211|253|2|FEDE|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-06-08T02:49:23.044|256|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
Germany|211|253|3|FEDE|Hyundai i20|Hyundai i20|CLEAR_SKY|DAWN|2019-06-08T02:49:23.044|257|true|2019-06-07T21:47:48.1|2019-06-09T22:20:32.156|FEDE|FEDE
